candidate_group_id,candidate_key_json,candidate_group_size,source_obs_ids,postal_code,start_timestamp_local,restoration_timestamp_local,cause_category,normalized_cause_category_detail,cause_detail_complete,nerc_regions,multi_nerc,reported_duration_min,reported_duration_min_min,reported_duration_min_max,timestamp_duration_min,timestamp_duration_min_min,timestamp_duration_min_max,duration_delta_min,duration_delta_min_min,duration_delta_min_max,complete_temporal,timestamp_duration_nonnegative,reported_duration_positive,reported_duration_nonnegative,demand_loss_known,demand_loss_positive,demand_loss_zero,demand_loss_known_count,demand_loss_max_mw,demand_loss_min_mw,customers_known_count,customers_max,customers_min
23081c572500a6146b4a27e81f67397edadcbb4bdefe0b47bca1912b9711b2b4,"[""AZ"",""2013-07-11T00:00:00"",""23:20:00"",""2013-07-14T00:00:00"",""15:22:00"",""intentional attack"",""vandalism""]",1,496,AZ,2013-07-11T23:20:00,2013-07-14T15:22:00,intentional attack,vandalism,true,WECC,false,3842,3842,3842,3842,3842,3842,0,0,0,true,true,true,true,true,true,false,1,455,455,0,__MISSING__,__MISSING__
adeb8530a437b659748278ca035d6e4717c079f69807a553be8fcfc97ae8c8a9,"[""AZ"",""2013-08-22T00:00:00"",""08:40:00"",""2013-08-22T00:00:00"",""11:49:00"",""intentional attack"",""sabotage""]",1,499,AZ,2013-08-22T08:40:00,2013-08-22T11:49:00,intentional attack,sabotage,true,WECC,false,189,189,189,189,189,189,0,0,0,true,true,true,true,false,false,false,0,__MISSING__,__MISSING__,0,__MISSING__,__MISSING__
07702a4a175ae32165372f6b3c1485ff0db09a9aad2b65ceac8e84f3394f934d,"[""AZ"",""2013-10-26T00:00:00"",""07:13:00"",""2013-10-26T00:00:00"",""07:14:00"",""intentional attack"",""__MISSING__""]",1,498,AZ,2013-10-26T07:13:00,2013-10-26T07:14:00,intentional attack,__MISSING__,false,WECC,false,1,1,1,1,1,1,0,0,0,true,true,true,true,false,false,false,0,__MISSING__,__MISSING__,0,__MISSING__,__MISSING__
9402dd7b2eb3fed70aaa536b32e0950258f72c9a74d20124069c39e25698e8d9,"[""AZ"",""2013-12-10T00:00:00"",""01:01:00"",""2013-12-11T00:00:00"",""01:01:00"",""intentional attack"",""__MISSING__""]",1,510,AZ,2013-12-10T01:01:00,2013-12-11T01:01:00,intentional attack,__MISSING__,false,WECC,false,1440,1440,1440,1440,1440,1440,0,0,0,true,true,true,true,false,false,false,0,__MISSING__,__MISSING__,0,__MISSING__,__MISSING__
1b551068f3fd48084c92f4b538e8de16d207ebbe3b223032b519079cda562f78,"[""AZ"",""2013-12-27T00:00:00"",""09:43:00"",""2013-12-27T00:00:00"",""12:43:00"",""intentional attack"",""__MISSING__""]",1,495,AZ,2013-12-27T09:43:00,2013-12-27T12:43:00,intentional attack,__MISSING__,false,WECC,false,180,180,180,180,180,180,0,0,0,true,true,true,true,false,false,false,0,__MISSING__,__MISSING__,0,__MISSING__,__MISSING__
7d9c6bbc000060b27026f9bb03541973e2678aaf0b82dffa4afd3435f9e62d2a,"[""AZ"",""2013-12-30T00:00:00"",""11:00:00"",""2014-01-01T00:00:00"",""08:00:00"",""intentional attack"",""__MISSING__""]",1,512,AZ,2013-12-30T11:00:00,2014-01-01T08:00:00,intentional attack,__MISSING__,false,WECC,false,2700,2700,2700,2700,2700,2700,0,0,0,true,true,true,true,false,false,false,0,__MISSING__,__MISSING__,0,__MISSING__,__MISSING__
b23fbcd8def8c612202d9fc95defd260baca90e3db2d4b0861013aba7119ab25,"[""AZ"",""2014-01-13T00:00:00"",""16:44:00"",""2014-01-13T00:00:00"",""16:45:00"",""intentional attack"",""vandalism""]",1,503,AZ,2014-01-13T16:44:00,2014-01-13T16:45:00,intentional attack,vandalism,true,WECC,false,1,1,1,1,1,1,0,0,0,true,true,true,true,false,false,false,0,__MISSING__,__MISSING__,0,__MISSING__,__MISSING__
66cef2c4a2c1e301c291a5acbf5612cc17b147ed587821973cecc90de1d54ea1,"[""AZ"",""2014-01-16T00:00:00"",""12:30:00"",""2014-01-16T00:00:00"",""13:57:00"",""intentional attack"",""vandalism""]",1,504,AZ,2014-01-16T12:30:00,2014-01-16T13:57:00,intentional attack,vandalism,true,WECC,false,87,87,87,87,87,87,0,0,0,true,true,true,true,false,false,false,0,__MISSING__,__MISSING__,0,__MISSING__,__MISSING__
401b0fb6c4a822ca55912c8535b32429fcc67e64929fc570ba3167099f957a5d,"[""AZ"",""2014-01-30T00:00:00"",""15:00:00"",""__MISSING__"",""__MISSING__"",""intentional attack"",""vandalism""]",1,509,AZ,2014-01-30T15:00:00,__MISSING__,intentional attack,vandalism,true,WECC,false,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,false,false,false,false,false,false,false,0,__MISSING__,__MISSING__,0,__MISSING__,__MISSING__
ddf3ab101bbe6462de7860662c85caaf3847d83f392f1b17424f1d9a298e4b0f,"[""AZ"",""2014-03-17T00:00:00"",""17:25:00"",""2014-03-18T00:00:00"",""00:56:00"",""intentional attack"",""sabotage""]",1,517,AZ,2014-03-17T17:25:00,2014-03-18T00:56:00,intentional attack,sabotage,true,WECC,false,451,451,451,451,451,451,0,0,0,true,true,true,true,false,false,false,0,__MISSING__,__MISSING__,0,__MISSING__,__MISSING__
